sentiment,content
neutral,@riandawson will do
neutral,@powerpoole You are quite welcome Mr. Poole.
happiness,@fatally_yours that's stunning!
sadness,"My wife took my last ï¿½20, no McDonalds breakfast for me today"
anger,awake.  school. ew. but i put on some nice lotion.
happiness,It's sunny and I feel really well today!  Yippeee!
sadness,@jmliss Link didn't work
neutral,my finger is now pregnant
sadness,My tummy hurts...
happiness,10 out of 40 done... everyone is going to be home drinking beer starting next week
anger,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
sadness,my phone is going to die too prematurely
anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
sadness,"@siggidori sorry, I'm creating a new comedy style &quot;bad joking&quot;"
happiness,@Bronte9 Hugs to hubby! I'll probably be in the same place come the 1st of September.
sadness,@burdr &quot;Restoration of the site would also take place as part of the Banks proposals&quot; - after the birds have gone? Avocets there this yr
happiness,@sophie_lee lol a bugg to school thats awsome
anger,@jareason There's nothing good on tonight anyway!!   #Sigjeans
happiness,Moms everywhere stop what you are doing and get a good night sleep for tomorrow its your childrens turn to pamper you.  enjoy your day
anger,i hate my new section this school year.. huhu..
sadness,@aliasgirl18 Exactly!  He wouldn't say it if they'd hinted it to him. I will seriously die with him if it's true.
anger,i hate rain and people.
neutral,Exams are so stressful
happiness,"Hope I'm not coming down with piggy flu, eyes red. Neck no longer holds up heavy head. Time for sleep.  Sogni D'oro all!"
anger,"@Rove1974 LOL @ the cards. So very, very wrong"
neutral,@larrybenet Just DMed you your login details for the Twitter Salvation System. Enjoy! do let me know what u think.
happiness,I find this tune to be very sexy. Smooth... have a lovely day  ? http://blip.fm/~5yzb6
neutral,Please read my friend's post and leave a comment  http://tinyurl.com/czb2sg
anger,@celticfish this is a travesty
neutral,I'm not gonna be here when the new Transformers comes out.... i'll be in Colombia
neutral,@druey Merlin wasn't too bad. Already watched it on BT of course
neutral,@alexeiv tell his people to contact my people
neutral,you forgot your fans too!  haha
neutral,going to work
happiness,Is getting more and more excited about thorpe park tomorrow
happiness,@HilHolla have fun on flashy fed hill..im sure you're imported cheeto eating ass will fit in lol
neutral,@kasey79 I got it
anger,@NerdIndian Take that back. I am insulted.
happiness,"I'm in a pub garden,  its boiling,  hannah no likey,"
neutral,We in bed now.
anger,texting my friends and being bored...   gosh i hate rain!!
happiness,Happy mothers day! Be good to your momma's!
anger,Getting very frustrated by people who don't know what they want... can't wait to go home tonight...
anger,"I am up, and having to deal with another rainy day  What the hell happened to summer, its so freakin cold!"
happiness,@PaulHarriott Hahaha!! Tv isn't really my thing anyway..I more of a music girl
sadness,Strained a muscle in my lower back today. &amp;*#&amp; it hurts! What hurts most is .. no running this weekend.
happiness,I always get really excited when 'Steal My Kisses' by Ben Harper comes on the ipod...great song...love the beat-boxing in the beginning
happiness,"thelma &amp; louise, Good movie."
happiness,"is wishing, after watching those videos, that it will be FREEZING next weekend so she can bring Edea out again without dying"
sadness,'ss back to the gym project. Finally finished ... Damn filthy hobo's always trying to eat my taco's.  !!   &lt;/3
neutral,@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky
anger,@badands cupcake!!  you can call me anything but &quot;bitch&quot; i suppose..and even then under certain circumstances....
sadness,"@mela0521 dont think too hard, its bad for your health  lol love u girl"
neutral,"@ELJmcfly Were done so much for them, then brazilians ha! but no meh, i think they love the other countries more then the UK"
neutral,Just got booked my ticket to athens
neutral,just got home after killing a possum
happiness,enjoying my new car
sadness,@contentwhore  lure her in with a foot massage!
neutral,@regent_lord But that means you'll leave me alone.
happiness,Mom ur the greatest.. HMD
happiness,"@_josh_thomas are you coming to sydney?! cool, where can i meet you? id love to meet you, you're my favourite comedian"
anger,Shit week all fucking week  off to the gym now with the worst headache.
sadness,"@Dani___ okay, i'll finally get to meet Dia! that's her name, right? oh geez i'll feel so stupid if it's not."
neutral,"Oops. I overlooked this LOLdog, also germane to #starwarsday :  http://tinyurl.com/cmal68 This is one of my earlier and better efforts"
happiness,@mrskutcher Happy mothers day
anger,Friday night and still working...oh wait..it's Saturday morning already
neutral,Might have broken text messages.
neutral,"@prmack Community news only  I sometimes accept guest posts, but not at the moment."
anger,"cold,so cold fuck!"
anger,"@MirandaBuzzfans dont worry, i will. i HATE it when nobody comments on my pics"
neutral,@vivianakacreoen Oh ok  thnks tho for adding me
sadness,The city officially smells like dead fish
anger,This day is fkn UGLY &amp; it matches my mood  unfortunatly. Time 2 blast off 2 the moon
anger,My bike was put on hold...should have known that.... argh total bummer
anger,Car-warmed Sprite tastes like sore throat
anger,"Time to get ready for wrk! Ahhhh, I dnt wanna goooo!"
sadness,"@Ste1987 Feel your pain with the hayfever - forgot to take mine yesterday, again."
anger,@tiffalo cuz airlines are super lame.
sadness,"Warhammer 40k: Space Marines 'officially' announced, only for 360 and PS3.  No luck for PC gamers"
sadness,Waaaaaaaa they kicked us out of the bank. Getting it until monday  OMG Chilito
sadness,Have been practicing for the last 40 minutes. I don't think 40 minutes will suffice for 7-days worth... More later
neutral,craving coffee
happiness,@thebraysmommy thx! Hoping it's a good week.
anger,@LeafyTangram Where's the story?! I wanna know! I wanna know!
sadness,lunch in the forrest ... its so baron.  fpu is so dead
neutral,Picture Day for 3 YO preschooler. Light blue striped utton down and kahkis.  Wonder what color they will be when I pick him up in 3 hours
anger,@britblackbird  youstinkatrespondingtotexts!
happiness,"@StevenSmith1990 Indeed, twitter is where its at mate, its all happening on here.  Enjoy. Hope to see you arou.. http://twurl.nl/j4o1xe"
anger,Fed up today        No-one's available for comment
happiness,"@burntoutcar Just for reference, I don't own that dress either. Sounds like LH was a good Fopp buy then"
happiness,@MarvetBritto Awesome! that's how I wanna roll when I become mogul status
neutral,So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!
neutral,@tommygun_ that is the truth.
anger,"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!"
sadness,Have @ Irma Vep rehearsals. No...not really.
sadness,@SheriRocks What are u doin Sheri?!
happiness,"@SubClub I was, I took your advice and it was most enjoyable  I am too small to be out alone or I would've just come over lol"
anger,"** gifts &amp; honesty box messages has been discontinued due to abuse ** - hehe, dalï¿½ï¿½ facebookovï¿½ aplikace na hovno"
sadness,is feelin it
sadness,"@tommcfly you and the guys should come down here, we are fucking freezing out here!"
sadness,@ShomariW LOL. PR is AMERICA!!! LMAO!!! He dont like me... theres nothing I can do!
neutral,@liz920 I would notice...
anger,"@lindentreephoto yeah, its super crap today   Stupid writing!  ugh"
anger,I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!
sadness,"@jedwhite - hey, they're at least in PST! You &amp; I are even later... wait, that's not good, is it?"
sadness,Up already  Nooooooo!
happiness,@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis
neutral,its raining in MD
sadness,@kurtismarsh Too far to go unless the prize is in the millions.  We know who wins
sadness,@casgetta what's wrong?
sadness,So broken now
neutral,"@Feego16 Until @twitter brings back our EVERYONE button, you can access the public timeline at http://twitter.com/public_timeline"
anger,a bedtime story pls....
happiness,"@stayingyoung I usually do if there is choice, but I am lucky in that most foods I love are generally very healthy (except ice cream!!)."
anger,@lanacaitlin  hahaha well its try its so ugly
sadness,Gotta go now .. i'm going to Circus .. the real Circus not Britney's Tour  sadly ..
neutral,"was in Palawan a couple of days ago, i'll try to post pictures tom."
neutral,is goin out  to  dinner!
anger,is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt
happiness,"Happy Monday, Twishers!!  Passing the coffee..."
happiness,@zef  the car illusin is Kool
sadness,"@hoperana nigel really enjoyed it, but he's got a big scratch on his side that inexplicably appeared afterwards..."
neutral,Do you know what's my best tactic? My best tactic is to just go with the flow. And you don't care.
happiness,i really want a blackberry  my sidekick is hella wack. night
anger,FUCK. slept in
anger,i already hate my tan lines  oh well better get used to them
neutral,@rgoodchild I think that normally we are drawn to people familiar or similar to us. The cougar thing is for some quick fun.
anger,Last Friday of Highschool...that's intense! One more test to go...economics. Ewww man!
anger,@lordofleisure Will have to it's only across the water and all. Just damned expensive
sadness,"When you see me, point and laugh. I'm ugly."
happiness,watching freo on a sunday arvo is a good hobby
sadness,"@bbunderground it's a good mix of developers, content developers, providers and venture folks"
sadness,@DubarryMcfly really has anyone got through to the finals yet? yeah was it i was stuck in class for most of it  loveyoufletch xxxx
anger,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy
neutral,"off to bed, night every onee"
neutral,@tofuatomic my boss. She's moving to NYC
happiness,Bit of soul time 4 this mama  will visialize next living environent. Speak soon.
sadness,I'm gettin ready for my trip back to MA...  I don't wanna leave!
neutral,omg why are the marshmellows in lucky charms so damn tiny now? i feel cheated.
neutral,missing Tim!
sadness,10) I'm allergic to hot wax
anger,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
neutral,"lazy day, staying off the foot as much as possible."
sadness,i'm new!!!!! dunno whatta doo!
anger,My new car is already giving me problems  That cant be a good sign.
happiness,"just came back from seeing the boat that rocked, it was an amazingly cool movie, definitely getting it on DVD once its out"
neutral,@itsleish That it does  just wish more people would notice it
anger,"Oh god, a moth was living in a fucking power outlet!  (Actually, my PowerSquid.)"
sadness,@Gabrielle_Union don't let anyone run you away from anything
sadness,WHY CANT I FIND IT!!!
anger,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
sadness,Seeing people today made me realize I really miss someone. But I also miss my grandpa he's been gone 17 years  oh! but my moms mamagra ...
anger,What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so
happiness,@Skydiver42 thank you for the followfriday. very sweet of you
sadness,@Dee_Staack Pfft ... i dont have the guts .. YOU TELL HIM  and say its a fundraiser like .. PFFT
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,@ElJefe_GM That's the plan
sadness,@weirdFishes you're very welcome! I love reviewing free apps as much as downloading/using them!
neutral,Nothing to do tonight.
happiness,I am now eating one of those big subway cookies with a glass of warm milk. YUM
sadness,@jasonridge1 you're in harlem? where? im so jealous right now! i miss living in nyc!
sadness,@ecnmst I'm doing all of Russia today! Because I'm cracking on with Economics tommorow  I'm retaking aswell :/
sadness,@songbookbaby lol. u got AC right? u know it's getting chill here again...  n its gona rain tmr
sadness,@MichaelHewitt I'm not posh enough to read Tatler
sadness,"sorry mum, will treat you well from now on"
anger,Hate I am going to miss the tweet up this weekend
sadness,A delay until midnight  bloody thomson!!!!
happiness,"i didn't have fun at the club tonight, had a lot on my mind"
anger,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.
happiness,@JonathanRKnight I am jealous...Ur koi fish are getting ur attention &amp; I'm not.....lmao   I'm kidding!!
happiness,@caldjr yeh me 2
happiness,@SashaGrey http://twitpic.com/4wixz - Your such an interesting girl. So much potential in so many ways.
neutral,@kyleandjakieo play vanessa hudgens new songs plz or vfactory
happiness,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff
happiness,"I say &quot;oh man..&quot; jovani asks, &quot;did you just call me an old man?&quot; haha"
happiness,Loves random acts of kindness and laughter
anger,@whit3boy nah will didn't tell diego so we at some donminican spot getting fucked up
anger,@quinland  I Hate It There Should Be A Endless Supply Of Hot Water!  I Put the Water Heater On 20mins Ago So Ill Be Gone In 10mins  Xx
happiness,"Swanage tomorrow and going to stay in Bourton on the Water Thurs/Fri!  Hoping for sun  Arcades and tea and pretty things, here we come"
sadness,@steve228uk Awh I forgot you had the pox  Hope you get better soon!
neutral,@PhilKSpencer Thanks 'Mckenzie'
happiness,http://twitpic.com/676tn - Home Sweet Home... I didn't have a picnic blanket though
neutral,@BOYWALT409 actually tear induced
anger,@chocoshabi I'm going to ask Waldi. I hope he makes a new keyword for me
sadness,"Sry but other day tweets were MIA - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea."
anger,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
anger,Was woken up by my screamin lil nefuew
sadness,@chaletlaforet shit that is awful... could not believe it at first... so sad
sadness,@ladebelle yeah it's a double edged sword. So I guess we dead on new stories?
neutral,just had KFC
anger,@PRGabbi Y?!?!?!? i would rather punch someone
neutral,just had a gym sesh.
anger,Stupid idiot who ran a stop sing and almost killed me and my car!
neutral,@brendaelizabeth yeah... I suppose
sadness,"Not so good at remembering to do this twitter thing, sorry everybody! I leave for Tibet today...with a head cold"
happiness,@marcftsk haha thanks for clarifying that.i thought u meant mr bello. I wish i could be there! That where my cousins live
happiness,Happy Mothers day to all you Mums out there
neutral,"@tsarnick Yeah, that was my thumb last night. Sorry"
anger,"@Tory_x hah, well at least we are not saying; tory is a fatty watty"
happiness,@srcasm  I need to come spend some time on your roof - I miss you &amp; @beyondreality    double date in a couple of weeks?
neutral,"@rubydoor hi ruby, u said u were painting yesterday (i think, lose track of time) what are you painting? can we know the concept/subject?"
anger,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
neutral,Dfizzy if you ever read this Uh i got one question for you ^^ Would you ever date a fan?  Lmao!
sadness,its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.
happiness,@flygirls &quot;Mom set the bar so high I need to learn to fly to reach it!&quot; -- now THAT's an awesome sentiment to read on Mother's Day.
neutral,has just finished ironing his clothes for #Church. Gonna walk the dog now then grab a shower/shave and be off  #jottonia looks good too
sadness,Fml just ran a mile.. And I just got scraped by my yearbook and I got 1/10 on my math test. Eff today
sadness,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
sadness,@tromboneforhire No Zune HD at E3???  This means no games on the Zune HD like I dreamed.
neutral,@MocityTwit g'mornin
happiness,Its offically mothers day!! happy moms day!!!
happiness,pool party at sherraton n brodi had  a blast! the friends made the evening bbqd at home with great conversation  funky n lifted day!!
neutral,back from lunch and I just remembered I have to join the daily recap with JB
happiness,"had a great shot yesterday, editing pics now"
anger,"damn fight night 4 demo won't load, keeps crashing at the first screen. time to delete and re download i think"
anger,I hate this weather  i wanna bake
anger,"Oh man, I feel sick. As in I might have contracted a cold... maybe from the kids' slobber on Thursday"
sadness,Time to get purrtty. *wink*
anger,@mayabbz oh damn that sucks
happiness,Sunburned on my face &amp; legs. Fixing to be my arms tooo.
neutral,"@sethsimonds well, my question is on your blog post"
neutral,@ontrich Yes I do
neutral,Getting really guilty
happiness,@JessicaSimpson I've been a fan of yours for years and you have been such an inspiration to me. You're truly my idol  Best wishes to you
anger,College work sucks so much!
happiness,lees net op Twitter dat het #Happy Star Wars day is... &quot;May the 4th be with you&quot;... Sjeez wat slecht
sadness,@shaydakiss doesnt look good  we have to go burn some lampions
anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
sadness,Robbie Wadge where are you? Does anyone know Robbie? Calling Robbie!
happiness,I love my mom we are going to greece this summer
neutral,im going to miss khyy so much
happiness,I wov you
anger,im tweeting... this is so hard... i dont get it...
neutral,@Zanti1 Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry 'bout your ring
happiness,@mynameismo Good Morning - here's hoping it's a good one for ya!
sadness,i have no followers
sadness,home with chocolate and peanut butter. stupid kids on my bus ruined my yearbook
anger,Working   But it's Fridaaaayyyyy
happiness,@apmckeown it sure is  Hope you're having a great morning
sadness,Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. I'm confused and sad
sadness,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida
anger,what am i doing drinking a shitload of water to get rid off me hangover then training at 9am
happiness,HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!
sadness,I need a job to keep me above waters...thought I had one but apparently its &quot;Casual&quot; so now on the search again
happiness,@lar206 just saw a baby blue regal with the word &quot;SLAB&quot; written in huge letters on the side  hahaaaa
anger,hate public Internet... sometimes they don't even reach farther than the transmitter itself... and I'm sitting right next to it  #WIN
neutral,"@GJvManen Nope, kicked that habit more then a year ago"
sadness,"Home from marble falls, back to reality"
neutral,Thing always end up going bad
sadness,I'm havin the stupid stomach pain again &amp; again... Today is my outing with SPH frenz &amp; my stomach nvr fails to dissappoint me. Haiz
neutral,thanks do the invite though
happiness,Happy Mother's day !!!! Show some love to your Beautiful and Amazing Mom!!  &lt;3
sadness,"@herecomesdomzi and what about me, huh? I'm crying. Did U forget me?"
neutral,"@vautrin i think in the end, remembering the poetry and feeling behind something is far more important than the name."
anger,@CheskieBear gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i'll never had a chance
neutral,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
happiness,"just sitting here watching my babies, life can be amazing afterall"
neutral,COTTIN WITH EMILYYYYYYYY
anger,"can't gauge the time of day in my office anymore... It's worse than a friggin' casino in here... no waitresses, smoking, or booze"
neutral,going thru bills
happiness,"says 2 1/2 hours to go, uwian na. . .  [phplurk.com] http://plurk.com/p/sun82"
neutral,@Scrapbooks I have no idea
neutral,Zac Brown is in Virginia Beach and I'll be in NoVA
happiness,@christinaof94 Lol  It's like you have a cult.. haha
anger,can't upload a picture. I already hate twitter
sadness,"Whoo, BGT!! I really must multi-task and do my Art work at the same time though, back at College on Monday!!"
anger,@stanleyyork in that case.. that's a stupid move  I thought they were being B-A
neutral,http://twitpic.com/4jhp8 - Waitin on them 2 tell me what's the plan
anger,"@anniething1 *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she'll grab pity votes like a shark."
neutral,@LichfieldBlog @nickbrickett #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!
anger,@bitterpurl I don't even look at their fabric unless I need polar fleece.   It's worth the extra $ to go to Needle and Thread.
neutral,@compassandcoin you are not alone
anger,So over it!
neutral,Off to study!  later guys
anger,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
sadness,"planning June - lots of appointments. meeting, briefings and litte time to finish my reports"
happiness,just watched that  new T-mobile advert on Youtube.. i love it  &quot;hey jude!!!!!!&quot;
happiness,@megbc OMG!!!!! 17???? wow. I'm the old one...
anger,@acepilot P.S. I hate your work schedule! I wish you could come play tonight
happiness,@purplefrogcat Happy Mother's Day to you
sadness,is very very tired  just want to sleep.  Stupid work getting in the way!!!
happiness,I am having the TIME of my LIFE
sadness,finished a whole box of ice cream
neutral,@chathuraw ???? ???? ????.....  ???? ???? ??????? ?? ???...
sadness,"@Anticiplate man, I am really sorry"
sadness,@lisibo ooohhhhh - sorry  So sad - never noticed the dollar signs! #oxteach
happiness,@keza34 sounds like my kinda day
sadness,Ok.....Twitter is not near as exciting as I thought it would be!
happiness,"@k_griffiths There was a good atmos. I decided to stay til closing, very funny!"
sadness,"Is there a way I can sleep for the next 8 or 9 days? That way when I wake up, she'll have returned &amp; I wouldn't have missed her SO MUCH!"
neutral,@WhoButStretch  you aint invite me
neutral,@Kait_O haha .. i'm from philippines!  i just want to follow you!
happiness,had fun at chel's with nicole and cried watching benjamin button   exciting night i must say
sadness,@ScrapShoppeEtsy rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((
neutral,@wilw It is a sad commentary is it not?
sadness,"@catcloud Yes, Cathy.  (Ordinarily, I don't have much of a problem with naked girls chasing me, however!  )"
happiness,"@LMontt I went on a Disney Cruise when I was a kid, but the characters were on strike so there weren't any"
neutral,really wants to go see the script in NY in august... but no one will go with me
happiness,Bon Voyage birthday Brother @ Mccarran! cyah again vegas in july. havent slept yet &amp; class @ 1  .. such a fun weekend
happiness,love new shoes  thanks wine lo
happiness,Reminising on such a wonderful day yesterday with my family and my love.  Nothing like shooting some basketball with the men in my life
sadness,"me and chloe are drinking away our sorrows, Dreambears SO should've got through"
anger,"@mitch4103 And with it, I can be online even after I have to log off habbo"
anger,Damn I hate this weather this shit sucks! I wanted to go out tonight but not n no mess like this
happiness,Ohhhhh what a line
happiness,"@OfficialAshleyG you are amazing as alice, as if she was made for you. Thank you for everything! I now have a face for the character"
neutral,"@ashumittal @twilightfairy #wci hashtag simply isn't dying out anytime soon, is it."
anger,@erinealberty that sucks!
anger,Almost all are here now! Tomorrow at 8 we start! 291km's of mud  - http://mobypicture.com/?zx33t1
sadness,@kirsty_l I got excited when I thought that exhibit was in Sydney. But it's not
neutral,@iMBA Ur welcome
neutral,"@kevsbrtny It depends on your goals &amp; how much you want to spend  Cannondale, Specialized and Cervelo are all good brands."
neutral,castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that
sadness,hollie steel on bgt was absolutely excruciating to watch...poor girl.
sadness,@xchristineannx Aww I'm sorry your boys are sick.   I'll keep my fingers crossed for no tails. lol Stay well youself and get better boys!
sadness,maths seriously hate me.
anger,"@Skittles3640 No prob, skittles we always gonna have yall's backs. The true sweeties dont play.. LOL But yea we just got heated. We sry"
sadness,@TheTarquin I am lost. Please help me find a good home.
sadness,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .
happiness,Hey cool: http://oproer.com/twwwitter/
sadness,In class till 12  wishing the rain would go away!!
anger,@l2ichal2d that's a given bitch cuz ill be there  me &gt; vegas... actually not
anger,ughh feel rubbish
anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
happiness,Happy Mother's Day to all my favorite moms.
sadness,@aliwise is tweeting so much that she's not even paying attention to me!
sadness,@hisheidi  my thoughts dwell on a certain person
happiness,yEssss!!! goT ma TwiN oN LoCK!!!  weLcomE tWiiN
sadness,"@loic I need to check your TOS, Loic. Are you allowed to sleep? I don't remember any mention of sleep there..."
happiness,going to the cinema to see ghost of girlfriends past!
sadness,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H
happiness,On my way home. I think i am over him
neutral,ok its FF soooo why isn't anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out
sadness,@ScubaStev3 jfufnfwucnbqjic im bored
happiness,I want to play parachute games.
happiness,"@JoesGaGirl You'd have him sweating and shaking, baby."
happiness,@cwpicketandco It's pretty warm out now! I forgot K was sick though.
sadness,@elainanic Hope that migraine doesn't stick around for too long.
anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
sadness,"@aaronob My music teacher either expired or forgot about my lesson, leaving me outside waiting for my ride to pick me up for 1 hour."
anger,@tracekase GO TO BED!!!
anger,LUCY IS HATING ON MY GWEG!
anger,Goddamnit! If we live in an age of constant communication why can't anyone return a text
sadness,Without wings again
anger,@teamincredible ALL white shoes make me cringe  . White shoes give me pause.
happiness,do some research for my article
anger,"@626aicitroM Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird."
anger,at economics i wanna go homeeeeeee  im tired and i hate the teacher.  and iï¿½m sick of half of my classmates and i wanna go home and sleep
happiness,"11.40 AM. I don't wanna wake up. Shoo, roommate, shoo."
anger,@followfrankie u feeling urself so much u cant say hi???  me no likey u
sadness,Had a pretty good day. Let's see how the night goes. ;-) oh I have to work all day tomorrow no picnic for me
neutral,I dont associate with fake asses!
happiness,"time always seems to fly when im with wade, its weird; but i like it... a lot!"
happiness,"@jessicamloring Haha! I can't a good vid of it on tubey,you thugh"
anger,is a bit tired. I blame the rain.  http://plurk.com/p/x2jc9
anger,I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. Duhh! I need it fixed
happiness,Rice is ready to eat.Off now to watch Comet 2009!The most important music price in germany.Wow n Lisa arrives around 12p.m.  Still 2 hours
sadness,i'll do follow friday a little later on...i'm busy taking over this lady's job.
happiness,home! tonight was so much fun! goodnight twitterbugs!
anger,"y do i even bother getting a new fone..i just fucking break them anyway,,,fones dont float,,especially when thrown in the pool"
sadness,Gotta a lot of work knocked out on the project but there's one feature that just refuses to work right. Can't release next version until
anger,so much for an amazing day...some pervert just ruined it
anger,Sometimes people never learn to shut up and stop talking shit
neutral,@Nigganelle yeah do you feel anything at all? I remembered I was looking at loopt on his phone and that nigga was coughin all over that
neutral,Had lunch at a Japanese sushi restaurant &amp; I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn't have a clue
anger,"@annettestarbuck heck yea that beats traffic!  Im on the stinkin toll road (paying to sit in traffic, nice) no milkshakes out here"
sadness,@lyssaloo I was gonna text u and ask what puff meant!!
neutral,"@3stripe yeah, still waitin'"
happiness,@euginis did you have fun last night? we didn't see you.
anger,argggggg car crash tv its just sooooooooo horrible to see her like that  #bgt
anger,@19fischi75 dont think me ugly - but tha dumb ass is lookin a lill betta - an he know it!
neutral,@dandebuf i'm pretty sure he's every main character we've ever written. that or @iamnotmatt
anger,anyone have tickets to the mtv movie awards? some guy scammed me
sadness,I am so hungry...if my arm were on the core diet I would eat it!  Guess I have to wait until dinner is ready
anger,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?"
neutral,(We got *both* kinds of music here...)
anger,"Shit shit, i didn't mean to dall asleep again, it's 9am, I wanted to be out by 9.30. Don't know why I'm so tired,I wasn't late last night"
happiness,giesal all dayyyyyy. come join meee!
sadness,"Watching GH. I feel so bad for Carly.  OMG, so fucked up."
sadness,My mobile has stopped recieving text messages AGAIN. Stoooopid thing
happiness,"me &amp; kelly share the same last name, wouldnt that be sweet if we were related  @TheEllenShow"
sadness,"@3spur I work at Schneider Electric, but not much longer. They are sending our jobs to Mexico"
neutral,Everything I usually watch is pending!  http://eztv.it/index.php?main=showlist
anger,@Zaraa_x ah that's annoying
happiness,@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!
happiness,"@pyuric Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)"
neutral,@jaked76 HAHA! 'dont-a tap your last season prada shoes at ME honey&quot;
neutral,Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.
happiness,nice weather today in Alex
neutral,alright @brainerdbaptist. let's do this
anger,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
anger,@iamcheerbear I know  It fucking sucks. anyway you can get a fake id or something?
neutral,@lovisatalk thanks anyway
happiness,Wishing all Mothers Happy Mother's Day
happiness,"@Jonas_babe woo! im getting mine on monday,cant wait  x"
happiness,"@AngelIbarra You guys rocked tonight. And yes, us Tacoma kids RULE."
happiness,Just spent the last two hours playing L4D with babe  Had HELLA fun. I love him &lt;3
neutral,ninja sushi for lunch but dominicks was out of sour gummy worms
anger,@erickajonasbby aw poor u   DON'T let her get 2 u just ignore her n keep ur head held high she iz just immature lil girl lol
neutral,Almost in New York City
happiness,@MichelleVo omgggg!! Hawaii!! That's amazing!! I wanna live there
anger,@trentvanegas Oh damn. That really sucks
neutral,@evanhindra Dump this blackberry and uses an iPhone? Basically it compliment each other.  I think.
anger,Hydro drive abandoned after three miles
sadness,"Lost his favorite thing he loves to always have on him, his story of the year Key Chain.."
happiness,"Bumper Sticker: &quot;If you don't want to stand up for our troops, feel free to stand in front of them&quot; Thank you to all in the military"
happiness,"@MiaMiaDC Good morning MiaMiaDC  My weekend was great and I just had my Monday, which was also great  I hope you have a wonderful day!"
neutral,@AbelPetSupply LOL! No trialing...for the most part Florida trials come to a screeching halt over the summer.  Have fun this weekend!
neutral,watching spongebob
anger,oh i hate friday evening.
happiness,@ConciseKilgore morning T! I love their breakfast! If I wasn't stuck at the shop right now getting maintenance done to the ride!
